address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
3108 OCCIDENTAL DR,3,3C        ,1115,10851(A)VC TAKE VEH W/O OWNER,2404,38.55042047,-121.3914158
2082 EXPEDITION WAY,5,5A        ,1512,459 PC  BURGLARY RESIDENCE,2204,38.47350069,-121.4901858
4 PALEN CT,2,2A        ,212,10851(A)VC TAKE VEH W/O OWNER,2404,38.65784584,-121.4621009
22 BECKFORD CT,6,6C        ,1443,476 PC PASS FICTICIOUS CHECK,2501,38.50677377,-121.4269508
3421 AUBURN BLVD,2,2A        ,508,459 PC  BURGLARY-UNSPECIFIED,2299,38.6374478,-121.3846125
5301 BONNIEMAE WAY,6,6B        ,1084,530.5 PC USE PERSONAL ID INFO,2604,38.52697863,-121.4513383
2217 16TH AVE,4,4A        ,957,459 PC  BURGLARY VEHICLE,2299,38.537173,-121.4875774
3547 P ST,3,3C        ,853,484 PC   PETTY THEFT/INSIDE,2308,38.56433456,-121.4618826
3421 AUBURN BLVD,2,2A        ,508,459 PC  BURGLARY BUSINESS,2203,38.6374478,-121.3846125
1326 HELMSMAN WAY,1,1B        ,444,1708 US   THEFT OF MAIL,2310,38.60960217,-121.4918375
2315 STOCKTON BLVD,6,6B        ,1005,ASSAULT WITH WEAPON - I RPT,7000,38.55426406,-121.4546045
5112 63RD ST,6,6B        ,1088,530.5 PC USE PERSONAL ID INFO,2604,38.52816497,-121.4314528
6351 DRIFTWOOD ST,4,4C        ,1261,SUSP PERS-NO CRIME - I RPT,7000,38.51092155,-121.5488201
7721 COLLEGE TOWN DR,3,3C        ,888,530.5 PC USE PERSONAL ID INFO,2604,38.55611545,-121.4142729
8460 ROVANA CIR,6,6C        ,1447,484G(B) PC ACCESS CARD FRAUD,2605,38.50398051,-121.3923987
4856 11TH AVE,6,6B        ,1054,487(A) PC GRAND THEFT,2303,38.54152896,-121.4495097
6033 69TH ST,6,6C        ,1403,TELEPEST -I RPT,7000,38.51657327,-121.4234749
547 L ST,3,3M        ,742,487(A) GRAND THEFT-INSIDE,2308,38.58184562,-121.5011657
3525 42ND ST,6,6A        ,1034,530.5 PC USE PERSONAL ID INFO,2604,38.54270763,-121.4572067
5641 DORSET WAY,4,4C        ,1225,484J PC PUBLISH CARD INFO,2605,38.52459987,-121.5203609
5551 REXLEIGH CT,5,5C        ,1661,459 PC  BURGLARY VEHICLE,2299,38.44659211,-121.4423777
1896 ARDEN WAY,2,2C        ,628,484G(B) PC ACCESS CARD FRAUD,2605,38.59664183,-121.423349
6168 RIVERSIDE BLVD,4,4C        ,1251,484 PC PETTY THEFT,2399,38.51512387,-121.5291027
415 SEXTANT WAY,2,2A        ,213,459 PC  BURGLARY VEHICLE,2299,38.65660112,-121.4560449
15 BASIN CT,5,5C        ,1654,TRAFFIC - I RPT,7000,38.44281523,-121.4095243
3340 62ND ST,6,6B        ,1047,594(B)(1)PC  VANDALISM +$400,2999,38.5438039,-121.4332827
4280 DEER HILL DR,5,5B        ,1616,484G(B) PC ACCESS CARD FRAUD,2605,38.47121906,-121.4547389
2814 5TH ST,4,4A        ,923,484 PC  PETTY THEFT/ OUTSIDE,2309,38.5564521,-121.5123309
1816 FLORIN RD,5,5A        ,1361,HARASSMENT - I RPT,7000,38.49535335,-121.4965602
1260 BELL AVE,2,2A        ,235,484 PC PETTY THEFT,2399,38.64717373,-121.4375169
7676 BRIDGEVIEW DR,4,4C        ,1294,LOST PROPERTY - I RPT,7000,38.47889498,-121.5354477
3816 CYPRESS ST,2,2A        ,503,459 PC  BURGLARY RESIDENCE,2204,38.63734742,-121.444642
1211 23RD ST,3,3B        ,747,484G(A)PC USE FORGED CARD,2605,38.57289613,-121.4767958
7001 EAST PKWY,6,6C        ,1427,503 PC   EMBEZZLEMENT,2799,38.51436734,-121.3854286
918 LAKE FRONT DR,4,4C        ,1294,TELEPEST -I RPT,7000,38.47948616,-121.5215057
4851 KOKOMO DR,1,1A        ,123,487(A) GRAND THEFT-INSIDE,2308,38.65994218,-121.5259008
2377 OAK HARBOUR DR,1,1B        ,440,653M(A) PC OBSCENE/THREAT CALL,5309,38.60893745,-121.5187927
1823 P ST,3,3B        ,766,484 PETTY THEFT/LICENSE PLATE,2399,38.57084621,-121.484429
1100 14TH ST,3,3M        ,745,FOUND PROPERTY - I RPT,7000,38.57815667,-121.4876958
3301 ARENA BLVD,1,1A        ,303,530.5 PC USE PERSONAL ID INFO,2604,38.64378844,-121.5341593
1088 PREGO WAY,1,1B        ,404,530.5 PC USE PERSONAL ID INFO,2604,38.62798948,-121.4857344
3259 SPINNING ROD WAY,1,1B        ,475,484J PC PUBLISH CARD INFO,2605,38.61153542,-121.5370613
1010 J ST,3,3M        ,744,THREATS - I RPT,7000,38.57999251,-121.4930384
400 BANNON ST,3,3A        ,704,530 PC FALSE PERS. REC PROP,2604,38.59540732,-121.4978798
6115 63RD ST,6,6B        ,1421,246 PC SHOOT OCCUP DWELL/VEH,5213,38.51526387,-121.4296507
47 FIRE LEAF CT,2,2A        ,212,10851(A)VC TAKE VEH W/O OWNER,2404,38.65737252,-121.4577585
5140 61ST ST,6,6B        ,1087,SHOOT INTO OCCUP DWELL - I RPT,7000,38.52799185,-121.434789
1814 19TH ST,3,3A        ,776,FOUND PROPERTY - I RPT,7000,38.56796664,-121.4852542
6940 27TH ST,4,4B        ,1356,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.50009398,-121.4776262
3820 65TH ST,6,6B        ,1058,MISCELLANEOUS I RPT (ZMISC),7000,38.54138742,-121.4282497
2829 FLORIN RD,4,4B        ,1356,TOWED/STORED VEH-14602.6,7000,38.49609085,-121.4740915
1080 APPOLLO WAY,4,4A        ,1203,10851(A)VC TAKE VEH W/O OWNER,2404,38.52973955,-121.5195294
6571 WEATHERFORD WAY,5,5C        ,1635,10851(A)VC TAKE VEH W/O OWNER,2404,38.46637324,-121.4265274
930 43RD AVE,4,4C        ,1253,10851(A)VC TAKE VEH W/O OWNER,2404,38.51538948,-121.5255605
2830 E ST,3,3B        ,728,211 PC ROBBERY- BUSINESS,1299,38.57905906,-121.4661967
NORTHGATE BLVD / W SILVER EAGLE RD,1,1C        ,419,CASUALTY REPORT,7000,38.63036289,-121.4755269
6665 STOCKTON BLVD,6,6C        ,1441,459 PC  BURGLARY BUSINESS,2203,38.50632179,-121.4333041
7811 DEER MEADOW DR,5,5B        ,1616,246 PC SHOOT OCCUP DWELL/VEH,5213,38.47400047,-121.4581933
3RD ST / O ST,3,3A        ,762,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.57724403,-121.5051437
27TH ST / J ST,3,3B        ,738,TRAFFIC-ACCIDENT INJURY,5400,38.57419952,-121.470553
8TH ST / L ST,3,3M        ,742,DUI I RPT,7000,38.57881567,-121.4970836
7850 COLLEGE TOWN DR,3,3C        ,888,484 PETTY THEFT/LICENSE PLATE,2399,38.55456463,-121.4106138
63RD ST / JANSEN DR,6,6B        ,1402,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.52199211,-121.4309007
11 ALCANON CT,1,1B        ,353,459 PC  BURGLARY VEHICLE,2299,38.62453557,-121.5264198
TRUXEL RD / SAGINAW CIR,1,1B        ,414,10851(A)VC TAKE VEH W/O OWNER,2404,38.62504428,-121.4978986
2600 N ST,3,3B        ,768,459 PC  BURGLARY VEHICLE,2299,38.56984785,-121.4737052
4740 BECKET WAY,5,5B        ,1631,459 PC  BURGLARY RESIDENCE,2204,38.46518116,-121.4461653
CALVINE RD / CENTER PKWY,5,5C        ,1645,243(D) PC BATT/CIVILIAN W/INJ,1315,38.4497213,-121.4258719
6625 VALLEY HI DR,5,5C        ,1623,10851(A)VC TAKE VEH W/O OWNER,2404,38.47143667,-121.427615
RAINBOW AVE / HOWE AVE,2,2C        ,558,246.3 PC NEGL DISCH FIREARM,5213,38.61972226,-121.4152799
2500 FLORIN RD,5,5A        ,1363,487(A) PC GRAND THEFT,2303,38.49570962,-121.477826
