"Number","Name","Generation","About","Types__001","Types__002","Resistant__001","Resistant__002","Resistant__003","Resistant__004","Resistant__005","Resistant__006","Resistant__007","Resistant__008","Resistant__009","Resistant__010","Resistant__011","Resistant__012","Weaknesses__001","Weaknesses__002","Weaknesses__003","Weaknesses__004","Weaknesses__005","Weaknesses__006","Weaknesses__007","Fast Attack(s)__Name","Fast Attack(s)__Type","Fast Attack(s)__Damage","Special Attack(s)__Name","Special Attack(s)__Type","Special Attack(s)__Damage","Weight__Minimum","Weight__Maximum","Height__Minimum","Height__Maximum","Buddy Distance","Base Stamina","Base Attack","Base Defense","Base Flee Rate","Pokèmon Class","MYTHIC","LEGENDARY","Common Capture Area","North America","Western Europe","Australia, New Zealand","Asia","Previous evolution(s)__Number","Previous evolution(s)__Name","Next Evolution Requirements__Amount","Next Evolution Requirements__Name","Next evolution(s)__Number","Next evolution(s)__Name","MaxCP","MaxHP"
"001","Bulbasaur","Generation I","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.","Grass","Poison","Water","Electric","Grass","Fighting","Fairy","","","","","","","","Fire","Ice","Flying","Psychic","","","","Tackle","Normal","12","Power Whip","Grass","70","6.04kg","7.76kg","0.61m","0.79m","3km (Medium)","90 stamina points.","118 attack points.","118 defense points.","10% chance to flee.","","","","","","","","","","","25","Bulbasaur candies","2","Ivysaur","951","1071"
"","","","","","","","","","","","","","","","","","","","","","","","","","Vine Whip","Grass","7","Seed Bomb","Grass","40","","","","","","","","","","","","","","","","","","","","","","3","Venusaur","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"002","Ivysaur","Generation I","There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.","Grass","Poison","Water","Electric","Grass","Fighting","Fairy","","","","","","","","Fire","Ice","Flying","Psychic","","","","Razor Leaf","Grass","15","Power Whip","Grass","70","11.38kg","14.63kg","0.88m","1.13m","3km (Big)","120 stamina points.","151 attack points.","151 defense points.","7% chance to flee.","","","","","","","","","1","Bulbasaur","100","Bulbasaur candies","3","Venusaur","1483","1632"
"","","","","","","","","","","","","","","","","","","","","","","","","","Vine Whip","Grass","7","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solar Beam","Grass","120","","","","","","","","","","","","","","","","","","","","","","","","",""
"003","Venusaur","Generation I","There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.","Grass","Poison","Water","Electric","Grass","Fighting","Fairy","","","","","","","","Fire","Ice","Flying","Psychic","","","","Razor Leaf","Grass","15","Petal Blizzard","Grass","65","87.5kg","112.5kg","1.75m","2.25m","3km (Big)","160 stamina points.","198 attack points.","198 defense points.","5% chance to flee.","","","","","","","","","1","Bulbasaur","","","","","2392","2580"
"","","","","","","","","","","","","","","","","","","","","","","","","","Vine Whip","Grass","7","Sludge Bomb","Poison","55","","","","","","","","","","","","","","","","","","2","Ivysaur","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solar Beam","Grass","120","","","","","","","","","","","","","","","","","","","","","","","","",""
"004","Charmander","Generation I","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.","Fire","","Fire","Grass","Ice","Bug","Steel","Fairy","","","","","","","Water","Ground","Rock","","","","","Ember","Fire","10","Flame Burst","Fire","30","7.44kg","9.56kg","0.53m","0.68m","3km (Medium)","78 stamina points.","116 attack points.","96 defense points.","10% chance to flee.","","","","","","","","","","","25","Charmander candies","5","Charmeleon","841","955"
"","","","","","","","","","","","","","","","","","","","","","","","","","Scratch","Normal","6","Flame Charge","Fire","25","","","","","","","","","","","","","","","","","","","","","","6","Charizard","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Flamethrower","Fire","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"005","Charmeleon","Generation I","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","Fire","","Fire","Grass","Ice","Bug","Steel","Fairy","","","","","","","Water","Ground","Rock","","","","","Ember","Fire","10","Fire Punch","Fire","40","16.63kg","21.38kg","0.96m","1.24m","3km (Medium)","116 stamina points.","158 attack points.","129 defense points.","7% chance to flee.","","","","","","","","","4","Charmander","100","Charmander candies","6","Charizard","1411","1557"
"","","","","","","","","","","","","","","","","","","","","","","","","","Scratch","Normal","6","Flame Burst","Fire","30","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","Flamethrower","Fire","55","","","","","","","","","","","","","","","","","","","","","","","","",""
"006","Charizard","Generation I","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","Fire","Flying","Fire","Grass","Fighting","Bug","Steel","Fairy","","","","","","","Water","Electric","Rock","","","","","Ember","Fire","10","Dragon Claw","Dragon","35","79.19kg","101.81kg","1.49m","1.91m","3km (Big)","156 stamina points.","223 attack points.","176 defense points.","5% chance to flee.","","","","","","","","","4","Charmander","","","","","2413","2602"
